Período;Nº de acionamentos do Serviço de Helicópteros de Emergência Médica (SHEM);Nº de acionamentos das Viaturas Médica de Emergência e Reanimação (VMER);Nº de acionamentos de Ambulâncias de Transporte Inter-Hospitalar Pediátrico (TIP);Nº de acionamentos das Ambulâncias de Suporte Imediato de Vida (SIV);Nº de acionamentos das Ambulâncias de Emergência Médica (AEM);Nº de acionamentos dos Motociclos de Emergência Médica (MEM);Nº de acionamentos das Unidade Móvel de Intervenção Psicológica de Emergência (UMIPE);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos de Emergência Médica (PEM);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos Reserva (RES);Nº de acionamentos das Ambulâncias sedeadas em Postos Não INEM (NINEM)
2016-11-12;5;267;6;105;494;0;5;1914;478;101
2016-11-14;5;249;2;97;427;29;1;2075;490;120
2016-12-02;2;299;6;118;486;37;1;2268;548;148
2016-12-03;2;270;5;109;472;0;0;2005;466;107
2016-12-06;0;267;4;102;487;29;0;2237;538;148
2016-12-15;3;259;5;93;483;26;0;2143;564;133
2016-12-18;4;288;6;131;481;0;2;2335;544;93
2016-12-21;5;286;6;110;447;30;0;2204;541;122
2016-12-26;5;302;4;130;480;12;3;2539;638;168
2016-12-31;3;311;4;98;437;1;1;2182;524;101
2017-01-02;2;344;6;122;548;26;3;2531;598;141
2017-01-08;1;272;7;126;450;0;0;2164;553;111
2017-01-14;2;285;3;111;455;0;1;1987;505;97
2017-01-17;2;299;2;118;447;26;0;2141;504;123
2017-01-31;1;302;3;116;478;16;1;2194;504;118
2017-02-04;1;265;1;94;460;0;1;1926;471;103
2017-02-06;0;261;12;132;480;19;0;2225;561;143
2017-02-15;2;254;6;108;483;22;1;2111;516;110
2017-02-17;1;261;3;97;459;28;1;2101;530;156
2017-02-18;4;255;5;114;434;0;2;1864;399;106
2017-02-19;0;285;2;92;494;0;0;1937;451;100
2017-02-20;2;288;1;105;452;28;1;2153;519;151
2017-02-24;3;259;6;96;458;37;1;2027;458;140
2017-03-13;0;239;3;91;425;22;0;2056;499;112
2017-03-20;2;245;3;98;482;20;3;1947;534;121
2017-03-25;2;260;2;94;422;0;1;1704;419;102
2017-03-30;3;257;4;89;453;22;0;2005;463;126
2017-04-08;3;272;1;89;421;0;1;1940;518;110
2017-04-13;3;238;3;91;426;24;0;1867;426;110
2017-04-15;4;234;5;93;430;0;0;1933;471;106
2017-04-17;1;251;7;99;432;23;1;1904;444;129
2017-04-18;4;204;6;95;435;25;1;1877;404;133
2017-05-05;0;225;1;87;402;24;1;1923;402;155
2017-05-07;4;237;3;97;482;0;2;1901;475;94
2017-05-10;1;241;5;99;454;22;1;1875;420;138
2017-05-22;5;262;4;98;457;33;0;2118;481;148
2017-06-01;2;211;3;76;450;21;1;1947;408;130
2017-06-07;4;237;1;90;435;37;1;2018;405;140
2017-06-09;0;273;2;97;452;33;0;2059;432;140
2017-06-12;1;285;2;104;490;28;2;2225;529;146
2017-06-17;4;264;2;115;462;0;2;2297;502;124
2017-06-25;0;229;4;86;419;0;0;1880;434;101
2017-07-01;8;190;4;76;404;2;2;1783;401;90
2017-07-03;7;223;5;88;450;23;1;2183;480;144
2017-07-17;2;214;4;101;430;32;0;2137;467;132
2017-07-23;4;210;4;103;434;8;0;2003;455;97
2017-07-27;3;207;4;99;424;29;1;2080;471;119
2017-08-05;5;253;4;91;413;11;0;2091;490;114
2017-08-19;2;232;2;82;426;5;0;2075;465;88
2017-08-21;3;255;3;75;450;29;0;2240;517;147
2017-08-24;6;201;3;78;436;37;1;2026;481;108
2017-09-07;3;238;3;84;467;36;1;1998;458;127
2017-09-09;1;246;0;83;441;6;2;2011;446;104
2017-09-13;4;237;3;91;428;24;0;1959;472;115
2017-09-23;4;236;4;104;417;5;1;2002;498;123
2017-09-27;2;245;6;85;476;33;0;2068;525;148
2017-10-12;2;260;3;100;462;25;1;2200;498;133
2017-10-15;6;244;3;100;456;0;3;2069;522;129
2017-10-20;4;270;3;88;448;22;1;2230;489;150
2017-11-06;3;244;5;97;419;33;0;2303;542;166
2017-11-08;3;241;5;95;408;32;0;1978;482;137
2017-11-09;6;240;4;89;415;34;0;2225;510;148
2017-11-12;2;263;2;95;457;0;2;2056;504;84
2017-11-15;4;244;2;99;459;32;1;2101;465;146
2017-11-18;2;291;1;100;470;0;0;2172;520;129
2017-11-19;3;257;0;102;471;0;1;2068;515;127
2017-11-20;6;271;1;113;499;21;2;2397;532;164
2017-11-21;1;257;2;107;459;19;3;2230;496;154
2017-12-15;2;279;9;100;499;29;3;2342;490;154
2018-01-01;3;312;5;133;598;7;1;2628;690;190
2018-01-03;0;280;5;110;476;18;5;2551;642;163
2018-01-04;1;262;7;75;471;31;1;2443;545;164
2018-01-17;3;292;5;118;471;38;5;2606;523;124
2018-02-03;6;314;4;96;458;0;1;2224;465;110
2018-02-05;0;292;7;106;494;34;2;2491;457;123
2018-02-09;3;279;7;115;487;47;2;2488;462;159
2018-02-16;4;303;4;117;498;27;3;2625;517;140
2018-02-28;0;326;6;105;461;17;7;2363;440;141
2016-11-15;3;265;2;93;466;40;0;1979;488;127
2016-11-21;3;273;4;110;497;32;2;2208;523;135
2016-11-22;3;250;2;105;466;23;0;2061;503;95
2016-11-27;2;287;1;103;510;0;2;2106;527;93
2016-12-08;2;254;5;108;473;0;0;1898;455;117
2016-12-19;5;298;4;102;521;35;3;2365;586;146
2016-12-20;3;314;3;118;527;36;1;2266;545;130
2016-12-23;3;294;11;105;497;29;2;2430;573;154
2016-12-27;4;301;9;107;517;27;4;2410;650;158
2016-12-30;2;275;6;131;454;21;2;2334;565;116
2017-01-06;2;310;4;127;487;28;4;2400;546;125
2017-01-11;1;284;0;129;498;24;3;2359;547;135
2017-01-15;1;289;8;126;432;0;0;2104;510;108
2017-01-25;4;293;5;95;447;22;2;2164;518;144
2017-01-30;1;274;3;101;505;33;0;2352;597;123
2017-02-07;1;264;8;96;445;20;1;2042;492;139
2017-02-08;1;250;2;75;443;31;1;2017;475;114
2017-02-13;3;296;4;116;449;17;1;2201;549;131
2017-03-07;1;233;4;97;449;28;1;2010;450;134
2017-03-10;4;258;4;91;482;32;4;2135;532;139
2017-03-11;2;246;6;104;464;0;1;1897;474;108
2017-04-02;1;249;1;100;441;0;0;1984;458;113
2017-04-05;1;269;2;75;442;38;3;1963;465;121
2017-04-11;2;239;5;91;432;41;1;1883;472;151
2017-04-14;6;221;2;110;408;0;1;1793;390;83
2017-04-21;2;230;2;95;431;22;0;1968;449;150
2017-04-26;2;210;4;95;420;29;0;1908;409;139
2017-04-29;4;232;3;86;410;0;0;1841;402;102
2017-05-01;5;254;3;100;425;0;1;1732;414;93
2017-05-02;2;239;2;87;442;33;1;2070;481;141
2017-05-03;4;235;4;95;435;30;1;2016;433;140
2017-05-06;4;247;1;100;448;0;0;1933;490;117
2017-05-08;4;249;4;85;469;21;1;2196;453;160
2017-05-11;7;219;4;91;414;16;2;1882;451;123
2017-05-13;4;245;1;88;403;0;1;1886;435;121
2017-05-19;0;216;1;69;448;28;0;1941;443;170
2017-05-21;3;253;2;102;444;0;1;1985;438;108
2017-05-23;4;227;2;88;460;28;1;2194;490;123
2017-05-25;6;243;2;96;467;23;0;2196;495;162
2017-05-27;2;226;6;104;473;0;1;1922;482;91
2017-05-28;2;232;2;98;427;0;1;1852;432;123
2017-06-02;1;230;9;89;459;31;3;2041;471;139
2017-06-04;0;223;2;90;426;0;0;1821;413;70
2017-06-05;2;212;1;79;424;29;0;1993;482;148
2017-06-21;2;253;4;111;493;28;0;2135;461;163
2017-06-26;1;222;0;82;433;19;0;2001;447;130
2017-06-27;4;209;5;83;422;27;0;1897;429;141
2017-07-04;2;252;1;90;429;27;3;1999;425;144
2017-07-09;5;186;0;85;408;1;0;1934;429;105
2017-07-10;1;212;3;73;457;44;1;2024;482;131
2017-07-12;2;220;5;84;472;26;2;2043;438;122
2017-07-14;2;250;4;96;449;25;1;2061;462;137
2017-07-15;3;214;1;89;396;5;0;1956;434;114
2017-07-19;3;202;1;76;438;27;0;1989;428;117
2017-07-30;3;224;1;81;387;10;4;1984;458;76
2017-08-06;3;240;1;103;425;8;1;2030;527;99
2017-08-07;2;240;10;91;440;28;1;2117;447;125
2017-08-09;4;227;1;98;449;47;1;1991;437;117
2017-08-11;4;235;1;95;498;30;1;2144;444;132
