periodo;regiao;no_transportes;no_utentes;valor
2014-02;Região de Saúde do Norte;69976.0;6539.0;1143979.8
2014-03;Região de Saúde do Alentejo;4416.0;713.0;193317.96
2014-03;Região de Saúde do Centro;29047.0;3926.0;679529.989999999
2014-03;Região de Saúde LVT;63107.0;6074.0;1262586.02
2014-04;Região de Saúde do Norte;77953.0;8116.0;1288059.70999999
2014-04;Região de Saúde do Alentejo;4426.0;740.0;193887.17
2014-04;Região de Saúde LVT;63318.0;6036.0;1254194.72
2014-07;Região de Saúde do Centro;32949.0;4133.0;761676.429999999
2014-08;Região de Saúde do Algarve;7731.0;774.0;213118.06
2014-10;Região de Saúde do Alentejo;4914.0;730.0;210124.799999999
2014-11;Região de Saúde do Algarve;7586.0;742.0;222435.58
2014-11;Região de Saúde LVT;62687.0;6137.0;1310083.02
2015-01;Região de Saúde do Algarve;7630.0;695.0;221640.45
2015-02;Região de Saúde do Algarve;7159.0;695.0;204755.73
2015-02;Região de Saúde do Centro;26264.0;3832.0;640589.16
2015-02;Região de Saúde LVT;57232.0;5791.0;1197916.67
2015-03;Região de Saúde do Norte;82853.0;8914.0;1495387.40999999
2015-03;Região de Saúde do Centro;28882.0;3854.0;684619.26
2015-04;Região de Saúde do Norte;82748.0;9115.0;1497791.86999999
2015-05;Região de Saúde do Centro;30794.0;4059.0;720599.459999999
2015-07;Região de Saúde LVT;68264.0;6269.0;1410940.15
2015-08;Região de Saúde do Norte;78174.0;8631.0;1465313.82999999
2015-09;Região de Saúde do Norte;85700.0;9179.0;1566388.82999999
2015-09;Região de Saúde do Alentejo;5038.0;1289.0;208723.02
2015-10;Região de Saúde do Centro;33702.0;4163.0;762334.159999999
2015-11;Região de Saúde do Norte;88610.0;9535.0;1584968.56999999
2015-11;Região de Saúde do Algarve;9044.0;817.0;250912.62
2015-12;Região de Saúde do Alentejo;4933.0;1287.0;198242.34
2016-01;Região de Saúde do Norte;76089.0;8720.0;1443400.66999999
2016-03;Região de Saúde LVT;69412.0;6472.0;1446144.99
2016-05;Região de Saúde do Norte;85396.0;9389.0;1553089.71999999
2016-06;Região de Saúde do Norte;86778.0;9641.0;1600942.45999999
2016-07;Região de Saúde do Centro;33811.0;4574.0;773719.689999999
2016-08;Região de Saúde LVT;64755.0;6212.0;1376689.21
