RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO
1,1,1,1,1,1,1,4119,1,1,143,1,190,2005,1,5,14,840,1
1,2,2,2,2,2,1,4119,1,1,61,2,90,2005,1,5,17,1065,1
1,3,3,2,1,3,1,4119,1,1,120,3,140,2005,1,5,17,1075,1
1,4,4,1,1,4,1,4119,1,1,45,4,75,2005,1,5,20,1215,2
1,5,5,3,2,5,2,4119,1,1,320,5,435,2005,1,6,10,620,3
1,5,5,3,1,3,2,4119,1,1,324,6,340,2005,1,6,12,755,3
2,1,6,4,3,5,2,4103,1,2,10,7,28,2005,1,6,12,732,3
1,5,7,1,1,6,1,4119,1,1,644,8,465,2005,1,6,13,795,1
2,5,8,4,1,4,3,4119,1,2,10,9,40,2005,1,6,14,860,1
1,5,9,1,2,4,1,4119,1,1,15,10,30,2005,1,6,16,970,1
1,5,10,1,1,1,1,4119,1,1,325,6,1080,2005,1,6,18,1095,1
1,5,10,1,1,1,1,4119,1,1,325,6,1080,2005,1,6,18,1095,1
1,5,5,1,1,7,1,4119,1,1,330,11,1085,2005,1,6,20,1255,2
3,5,10,5,2,3,4,4119,1,1,320,6,540,2005,1,0,7,420,3
3,5,11,3,2,8,4,4119,1,1,20,12,90,2005,1,0,8,510,3
1,1,12,3,3,9,1,4119,1,1,6,13,30,2005,1,0,9,540,3
1,5,13,1,1,9,1,4119,1,1,320,14,330,2005,1,0,11,690,3
1,1,14,4,1,10,2,4119,1,1,30,15,69,2005,1,0,13,801,1
1,1,15,4,1,11,2,4119,1,1,90,16,140,2005,1,0,13,800,1
3,6,16,6,2,4,2,4119,1,1,80,17,50,2005,1,0,16,980,1
1,5,5,3,1,4,2,4119,1,1,320,18,354,2005,1,0,17,1036,1
1,5,17,3,1,7,2,4119,1,1,160,19,115,2005,1,0,20,1220,2
1,5,18,4,1,7,1,4119,1,1,100,20,95,2005,1,0,22,1335,2
1,5,5,3,2,9,2,4119,1,1,325,18,520,2005,1,1,7,420,3
1,5,5,3,1,1,2,4119,1,1,340,18,600,2005,1,1,7,420,3
1,5,5,3,1,11,2,4119,1,1,330,18,310,2005,1,1,8,510,3
1,5,19,2,1,11,1,4119,1,1,120,21,150,2005,1,1,14,840,1
3,5,20,6,2,4,4,4119,1,1,130,22,350,2005,1,1,13,810,1
3,7,20,6,2,8,4,4119,1,1,190,22,290,2005,1,1,13,810,1
1,5,21,4,1,3,1,4119,1,1,320,14,285,2005,1,1,18,1120,1
1,5,21,7,1,9,1,4119,1,1,321,14,239,2005,1,1,19,1156,2
1,8,22,2,1,11,1,4119,1,1,28,23,92,2005,1,1,20,1258,2
3,5,10,5,1,7,4,4119,1,1,360,24,420,2005,1,2,7,420,3
3,7,11,6,2,8,2,4119,1,1,100,25,300,2005,1,2,8,480,3
1,9,23,2,1,11,1,4119,1,1,200,26,215,2005,1,2,13,825,1
1,5,10,3,1,10,1,4119,1,1,320,18,330,2005,1,2,13,810,1
1,5,10,3,1,4,1,4119,1,1,320,18,355,2005,1,2,13,820,1
1,10,24,2,1,7,1,4119,1,1,63,27,70,2005,1,2,16,1010,1
1,10,24,2,1,3,1,4119,1,2,61,27,90,2005,1,2,17,1040,1
1,11,25,2,1,7,1,4119,1,1,170,28,205,2005,1,2,18,1085,1
1,5,10,3,1,3,1,4119,1,1,340,29,520,2005,1,3,11,665,3
3,5,5,3,2,1,2,4119,1,1,380,30,470,2005,1,3,11,670,3
3,1,26,4,3,12,2,4119,1,1,325,30,378,2005,1,3,12,762,3
1,1,27,4,3,10,2,4119,1,1,120,31,130,2005,1,3,15,950,1
1,1,28,4,3,10,2,4119,1,1,90,32,134,2005,1,3,18,1081,1
1,1,1,4,3,4,2,4119,1,1,150,1,150,2005,1,3,19,1170,2
1,1,29,8,3,7,2,4119,1,1,130,33,1290,2005,1,3,23,1380,2
3,5,20,6,2,9,2,4119,1,2,190,22,269,2005,1,4,8,511,3
1,5,30,9,1,4,1,4119,1,2,10,34,44,2005,1,4,10,631,3
1,5,10,4,1,7,1,4119,1,1,330,18,450,2005,1,4,13,780,1
1,5,31,4,1,4,1,4119,1,1,70,35,90,2005,1,4,13,785,1
1,5,32,2,1,9,1,4119,1,1,135,36,145,2005,1,4,14,855,1
1,5,10,2,1,4,1,4119,1,1,320,18,315,2005,1,4,14,875,1
1,5,30,4,1,11,1,4119,1,1,20,34,64,2005,1,4,16,1016,1
1,5,1,5,1,3,2,4119,1,2,160,1,180,2005,1,4,20,1200,2
1,5,33,3,2,3,2,4119,1,2,90,37,90,2005,1,5,1,60,4
1,12,1,1,1,9,1,4119,1,2,150,1,110,2005,1,5,13,790,1
1,5,34,4,1,9,1,4119,1,1,321,18,275,2005,1,5,16,1005,1
1,5,20,4,1,9,1,4119,1,1,115,22,120,2005,1,6,10,630,3
1,13,10,1,1,9,1,4119,1,1,322,38,275,2005,1,6,18,1105,1
1,5,35,4,1,10,1,4119,1,1,320,6,1150,2005,1,6,21,1270,2
3,5,36,3,1,4,4,4119,1,1,360,39,540,2005,1,0,6,360,4
1,5,37,3,1,11,1,4119,1,1,330,39,660,2005,1,0,6,390,4
3,5,10,5,1,11,4,4119,1,1,343,38,480,2005,1,0,6,390,4
1,5,38,3,1,9,1,4119,1,1,332,40,345,2005,1,0,7,450,3
3,5,11,3,2,8,4,4119,1,1,84,7,270,2005,1,0,8,510,3
1,5,38,3,1,1,1,4119,1,1,340,6,755,2005,1,0,8,505,3
1,5,39,2,1,7,1,4119,1,1,180,41,170,2005,1,0,13,780,1
1,5,40,2,1,2,1,4119,1,1,60,42,102,2005,1,0,13,828,1
1,5,26,4,1,9,1,4119,1,1,321,30,250,2005,1,0,15,910,1
3,5,20,3,2,7,4,4119,1,1,120,22,149,2005,1,0,16,961,1
2,5,13,4,1,5,3,4103,1,2,8,43,26,2005,1,0,17,1049,1
1,5,10,1,2,7,1,4119,1,1,330,6,230,2005,1,0,18,1120,1
1,5,41,4,2,8,1,4119,1,1,90,44,90,2005,1,0,19,1140,2
1,5,42,3,2,10,1,4119,1,1,110,45,120,2005,1,0,20,1200,2
2,5,43,4,1,2,1,4119,1,2,7,7,60,2005,1,0,21,1310,2
1,1,44,2,1,10,1,4119,1,1,160,46,1305,2005,1,0,22,1320,2
1,5,10,3,1,11,1,4119,1,1,320,6,450,2005,1,1,7,450,3
1,5,45,2,2,2,1,4119,1,1,55,47,94,2005,1,1,14,846,1
1,5,46,2,1,3,1,4119,1,1,80,36,90,2005,1,1,13,810,1
1,5,47,2,1,9,2,4119,1,1,115,48,174,2005,1,1,13,811,1
1,5,47,2,2,9,2,4119,1,1,115,48,174,2005,1,1,13,811,1
1,5,48,4,2,1,2,4119,1,1,180,49,180,2005,1,1,17,1020,1
1,5,49,2,1,7,1,4119,1,1,170,50,180,2005,1,1,17,1020,1
1,5,3,2,2,10,1,4119,1,1,80,32,105,2005,1,1,20,1230,2
